"pi" "bh" "wbh" "naive" "bon" "bh" "wbh" "naive" "bon"
"0" 0 0.0485 0 0.9999 0.0485 0.0517069275304452 0 0.91327685678814 0.0492393915132106
"0.005" 0.005 0.0508916666666667 0 0.937954409293837 0.0433833333333333 0.0540683206394691 0 0.862964871971835 0.0404102250114802
"0.01" 0.01 0.0485616666666667 0 0.882290826998035 0.0341 0.0534606205250597 0 0.818284685399012 0.0299783214617529
"0.02" 0.02 0.046765 0 0.789812007234066 0.0262633333333333 0.0500439348926733 0 0.740868345860694 0.0221081543518393
"0.04" 0.04 0.0448277922077922 0 0.649688252608131 0.0149442857142857 0.0482055156781262 0 0.618232314770662 0.0129153968945001
"0.08" 0.08 0.0453460409035409 0 0.473271877703035 0.00914924963924964 0.0465766864658464 0 0.457813741064337 0.00809634309524213
"0.16" 0.16 0.0413319406143694 0 0.291981003017672 0.00417247269070798 0.0421331742831396 0 0.286520066718862 0.00379301752540214
"0.32" 0.32 0.0341652349978814 0 0.1441488424715 0.00165866265937790 0.0344581996026288 0 0.142815547809766 0.00160186398718509
"0.64" 0.64 0.0181336414447281 0 0.0429847307814341 0.000467026451975377 0.0181967092323998 0 0.0427588134752033 0.000462702681187902
"0.975" 0.975 0.00130758725984745 0 0.00210639999627576 1.83568724320529e-05 0.00131309263522056 0 0.00210288340797322 1.64691738238951e-05
