"pi" "wbh" "bh" "Simes" "aggr" "shuffle" "wbh" "bh" "Simes" "aggr" "shuffle" "wbh" "bh" "Simes" "aggr" "shuffle"
"0" 0 0 0.0491 0.0469 0.0455 0.0478 0 0.0529358987139866 0.050569658205077 0.0499049904990499 0.051517571884984 0 0 0 0 0
"0.005" 0.005 0 0.0494916666666667 0.0470416666666667 0.0366333333333333 0.0458333333333333 0 0.0535620251260062 0.0511406556881704 0.0426712590891695 0.0504311046038718 0.6165 0.3081 0.3061 0.5509 0.2174
"0.01" 0.01 0 0.045005 0.043705 0.0320983333333333 0.0451516666666667 0 0.0493619070551409 0.0483062616991728 0.039064274358392 0.0484988452655889 1.1963 0.6292 0.6261 1.1655 0.4508
"0.02" 0.02 0 0.0480866666666667 0.0469466666666667 0.0227534920634921 0.0461466666666667 0 0.0506751125187531 0.0497992975413949 0.0280235568579476 0.0511457654314797 2.3423 1.328 1.3225 2.4664 0.9423
"0.04" 0.04 0 0.046439246031746 0.0463136904761905 0.0163452960927961 0.0448062698412698 0 0.0485580416426549 0.0486612515042118 0.0196417619399582 0.0475735879077168 4.6196 2.8473 2.8447 5.284 2.043
"0.08" 0.08 0 0.0441943847492377 0.0450086085809615 0.00799275213419521 0.0460081446331446 0 0.0450023369166055 0.046054994612284 0.00988627967490122 0.0482485014379266 9.1609 6.2015 6.2209 11.3785 4.5437
"0.16" 0.16 0 0.0419828388462517 0.0446878299342681 0.0053169533229097 0.0435865514412887 0 0.0427411497239363 0.0456446976696438 0.00668096044729267 0.0452822257968039 18.4319 13.787 13.9242 24.2065 10.8611
"0.32" 0.32 0 0.0336038119878685 0.0396262690191147 0.00187708870947580 0.0402892179941121 0 0.0338250355401336 0.0401023005775893 0.00221248822369635 0.0410124217276632 36.7659 30.6531 31.4405 50.4166 26.3565
"0.64" 0.64 0 0.0179047966371766 0.0269544671662645 0.000512853921021956 0.0291706919820144 0 0.0179416241712327 0.0271966499820067 0.000576480552653969 0.0295087781010238 73.5017 68.3407 73.3892 103.2432 66.3689
"0.975" 0.975 0 0.00123275506946471 0.00305863731857874 0.000124427539226052 0.00394542867942486 0 0.00123204233890847 0.00309116665364138 0.000138702261474474 0.00404668634671214 111.937 111.4886 130.4375 158.362 125.332
