"pi" "bh" "naive" "bon" "bh" "naive" "bon"
"0" 0 0.0523 1 0.0523 0.0555721244656526 0.913263396240197 0.0541616885702907
"0.005" 0.005 0.04465 0.937900030618396 0.0374833333333333 0.048922056384743 0.863694653842821 0.0346940338515739
"0.01" 0.01 0.0500633333333333 0.882180129755323 0.03705 0.0545810122081309 0.81822607260726 0.0325732899022801
"0.02" 0.02 0.0465405555555556 0.78763197013586 0.0279466666666667 0.0491967452534947 0.738302874042618 0.0228973428328180
"0.04" 0.04 0.0452555303030303 0.648035542695966 0.0163626190476190 0.0483198001249219 0.616926388844263 0.0140999394481128
"0.08" 0.08 0.0427671965860936 0.471155144764756 0.00911640331890332 0.0441838537032364 0.456478520611785 0.00816175106659247
"0.16" 0.16 0.0414013462396438 0.291833779481615 0.00377259403565131 0.0421354325398627 0.286579501974505 0.00364926601035031
"0.32" 0.32 0.0339000470281419 0.144462166691098 0.00172059435952169 0.0341072447755636 0.143073632036571 0.00167894018715103
"0.64" 0.64 0.0181101738039026 0.0429458919910521 0.00046721355967336 0.0181559858148401 0.0427497065616599 0.000462266847265542
"0.975" 0.975 0.00128546971175744 0.00207196598346286 2.64281803912222e-05 0.00128376319410944 0.00206176500764612 2.63546278726544e-05
