"pi" "bh" "Simes" "aggr" "shuffle" "bh" "Simes" "aggr" "shuffle" "bh" "Simes" "aggr" "shuffle"
"0" 0 0.0453 0.0431 0.0467 0.0448 0.0490490490490491 0.0468546202468145 0.0514228657014478 0.0487633924101332 0.049 0.0467 0.0515 0.0487
"0.005" 0.005 0.0467833333333333 0.0451 0.0384466666666667 0.0426833333333333 0.0510388437217705 0.0493500604594921 0.0457222468494712 0.0469575107644813 0.3784 0.3732 0.6291 0.2809
"0.01" 0.01 0.0472283333333333 0.0461283333333333 0.0310583333333333 0.044525 0.0506048628578273 0.0496905605960464 0.0369491834686616 0.0492634139748615 0.7198 0.7143 1.2422 0.5298
"0.02" 0.02 0.0490595238095238 0.0477511904761905 0.0249765079365079 0.0434866666666667 0.0516827916976763 0.0508706467661692 0.0297502344216179 0.0464498672145112 1.4686 1.462 2.5693 1.0457
"0.04" 0.04 0.0458203663003663 0.0458260012210012 0.0162883658008658 0.0455135317460317 0.0487890487890488 0.0491309908960951 0.0196485271464051 0.0492485622597147 3.0386 3.0373 5.4118 2.1973
"0.08" 0.08 0.0442930468142968 0.0452470994283494 0.00773111899004213 0.0462749658674659 0.0459881543650899 0.0472202376227144 0.00964815899011124 0.0490406937047658 6.5802 6.6082 11.5187 4.9084
"0.16" 0.16 0.0412060588092491 0.0438048467221035 0.00484904010453276 0.0450026052689141 0.0418361039721526 0.0446944965683880 0.00608970930255593 0.0459121539335877 14.4195 14.6112 24.2893 11.367
"0.32" 0.32 0.0336462619040429 0.039505119935517 0.00204283529516565 0.0408012737028921 0.0339009429643871 0.0400111191284496 0.00242722678201644 0.041459032271649 31.819 32.8656 50.6727 27.5456
"0.64" 0.64 0.0181221335108950 0.0273492542983787 0.000494858737044005 0.0291664126598281 0.0181956779243155 0.0276164788007994 0.000553958644155016 0.0295990090453419 69.6272 75.4609 103.2094 68.478
"0.975" 0.975 0.00120361006663759 0.00294806621944244 0.000122859299877638 0.00387304772019794 0.00120489635758765 0.00298526046625335 0.000136291636466869 0.00397562501184632 111.5908 130.7638 158.2674 125.6716
